,acc,prec,recall,tree_type
0,0.78669,0.81387,0.71246,single_tree
1,0.78669,0.81387,0.71246,single_tree
2,0.7534,0.82895,0.60383,single_tree
3,0.78669,0.81387,0.71246,single_tree
4,0.79576,0.83459,0.70927,single_tree
5,0.79576,0.83459,0.70927,single_tree
6,0.78669,0.81387,0.71246,single_tree
7,0.78669,0.81387,0.71246,single_tree
8,0.79576,0.83459,0.70927,single_tree
9,0.78669,0.81387,0.71246,single_tree
10,0.74433,0.80508,0.60703,single_tree
11,0.79576,0.83459,0.70927,single_tree
12,0.7534,0.82895,0.60383,single_tree
13,0.7534,0.82895,0.60383,single_tree
14,0.78669,0.81387,0.71246,single_tree
15,0.7534,0.82895,0.60383,single_tree
16,0.78669,0.81387,0.71246,single_tree
17,0.74433,0.80508,0.60703,single_tree
18,0.78669,0.81387,0.71246,single_tree
19,0.78669,0.81387,0.71246,single_tree
20,0.7534,0.82895,0.60383,single_tree
21,0.78669,0.81387,0.71246,single_tree
22,0.74433,0.80508,0.60703,single_tree
23,0.78669,0.81387,0.71246,single_tree
24,0.7534,0.82895,0.60383,single_tree
25,0.74433,0.80508,0.60703,single_tree
26,0.7534,0.82895,0.60383,single_tree
27,0.7534,0.82895,0.60383,single_tree
28,0.79576,0.83459,0.70927,single_tree
29,0.78669,0.81387,0.71246,single_tree
30,0.79576,0.856,0.68371,bagging_tree
31,0.7882,0.8289,0.69649,bagging_tree
32,0.78215,0.83137,0.67732,bagging_tree
33,0.7882,0.84462,0.67732,bagging_tree
34,0.78971,0.83462,0.69329,bagging_tree
35,0.78669,0.83858,0.68051,bagging_tree
36,0.7882,0.83142,0.69329,bagging_tree
37,0.78971,0.83721,0.6901,bagging_tree
38,0.79123,0.85714,0.67093,bagging_tree
39,0.78215,0.82879,0.68051,bagging_tree
40,0.78669,0.83594,0.68371,bagging_tree
41,0.79425,0.85259,0.68371,bagging_tree
42,0.79274,0.83846,0.69649,bagging_tree
43,0.79576,0.84766,0.69329,bagging_tree
44,0.79576,0.85317,0.6869,bagging_tree
45,0.78517,0.83529,0.68051,bagging_tree
46,0.78971,0.85081,0.67412,bagging_tree
47,0.79879,0.84351,0.70607,bagging_tree
48,0.78971,0.83984,0.6869,bagging_tree
49,0.78971,0.83206,0.69649,bagging_tree
50,0.79274,0.84646,0.6869,bagging_tree
51,0.79123,0.84861,0.68051,bagging_tree
52,0.78971,0.84524,0.68051,bagging_tree
53,0.78215,0.82879,0.68051,bagging_tree
54,0.78366,0.82946,0.68371,bagging_tree
55,0.78517,0.83012,0.6869,bagging_tree
56,0.78366,0.83203,0.68051,bagging_tree
57,0.79274,0.84375,0.6901,bagging_tree
58,0.78669,0.84127,0.67732,bagging_tree
59,0.79274,0.84375,0.6901,bagging_tree
60,0.75492,0.78067,0.67093,random_forest
61,0.72769,0.74721,0.64217,random_forest
62,0.76853,0.81746,0.65815,random_forest
63,0.72012,0.74806,0.61661,random_forest
64,0.75038,0.7327,0.74441,random_forest
65,0.75946,0.79845,0.65815,random_forest
66,0.75492,0.81328,0.6262,random_forest
67,0.76097,0.79026,0.67412,random_forest
68,0.71407,0.70805,0.67412,random_forest
69,0.74281,0.76384,0.66134,random_forest
70,0.73374,0.74377,0.66773,random_forest
71,0.71861,0.76569,0.58466,random_forest
72,0.70499,0.70486,0.64856,random_forest
73,0.70953,0.69967,0.67732,random_forest
74,0.73828,0.77559,0.62939,random_forest
75,0.75492,0.82684,0.61022,random_forest
76,0.73525,0.75368,0.65495,random_forest
77,0.75643,0.804,0.64217,random_forest
78,0.77005,0.81569,0.66454,random_forest
79,0.73979,0.85427,0.54313,random_forest
80,0.75038,0.7803,0.65815,random_forest
81,0.75038,0.7782,0.66134,random_forest
82,0.71104,0.73106,0.61661,random_forest
83,0.74281,0.82063,0.58466,random_forest
84,0.77761,0.79856,0.70927,random_forest
85,0.70499,0.72519,0.60703,random_forest
86,0.74887,0.76157,0.68371,random_forest
87,0.73676,0.7603,0.64856,random_forest
88,0.71256,0.7128,0.65815,random_forest
89,0.73979,0.82192,0.57508,random_forest
